Sector,Project,Operation,Chinese Company,Year,US$ M
Transmissão,LT Inocência - Chapadão,Linhas de Transmissão do Itatim S.A. (Itatim),State Grid,2012,"503,84"
Transmissão,SE Ilha Solteira,Linhas de Transmissão do Itatim S.A. (Itatim),State Grid,2012,"503,84"
Transmissão,SE Inocência,Linhas de Transmissão do Itatim S.A. (Itatim),State Grid,2012,"503,84"
Transmissão,SE Chapadão,Linhas de Transmissão do Itatim S.A. (Itatim),State Grid,2012,"503,84"
Transmissão,LT São João do Piauí - Curral Novo do Piauí,Iracema Transmissora de Energia S.A. (Iracema),State Grid,2012,"503,84"
Transmissão,LT Curral Novo do Piauí - Milagres,Iracema Transmissora de Energia S.A. (Iracema),State Grid,2012,"503,84"
Tecnologia,Comércio de Componentes Eletrônicos (CCE),CCE,Lenovo,2012,"153,48"
Tecnologia,Fábrica de lâmpadas de LED,Phillips Brasil,Shenzhen SangFei Consumer Communications,2012,"50,00"
Tecnologia,Inauguração de subsidiária brasileira da China Telecom,China Telecom Americas,China Telecom,2012,"0,00"
Tecnologia,Novo Centro de Distribuição da Huawei,Huawei Brasil,Huawei Technologies Co. Ltd.,2012,"61,50"
Finanças,subsidiária do ICBC,ICBC do Brasil Banco Múltiplo,Industrial and Commercial Bank of China (ICBC),2012,"100,00"
Transmissão,SE Niquelândia,"Luziânia-Niquelândia Transmissora S.A. (State Grid Brazil Holding S.A.), com 51% de participação, em consórcio com Furnas Centrais Elétricas S.A., com 49%",State Grid,2011,"19,79"
Transmissão,SE Luziânia,"Luziânia-Niquelândia Transmissora S.A. (State Grid Brazil Holding S.A.), com 51% de participação, em consórcio com Furnas Centrais Elétricas S.A., com 49%",State Grid,2011,"19,79"
Tecnologia,Participação na Springer Carrier Ltda,Springer Carrier Ltda,Midea,2011,"70,83"
Tecnologia,Criação da Joint Venture Pioneer Yorkey do Brasil,Pioneer Yorkey do Brasil,Yorkey Optical (Asia Optical Group),2011,"15,00"
Agricultura,"Aquisição de 7,5% de participação na CCAB AGRO",CCAB AGRO,Chongqing Huapont Pharmaceutical Co.,2011,"20,00"
Maquinário Industrial,"Criação de uma joint venture entre Asperbras, Brasil China Petróleo (BRCP) e a chinesa Baoji Oilfield Machinery Company (Bomco)",BOMCOBRAS,Baoji Oilfield Machinery Company (Bomco),2011,"74,00"
Tecnologia,Construção de Centro de Pesquisa e Desenvolvimento da Huawei,Huawei Brasil,Huawei Technologies Co. Ltd.,2011,"350,00"
Petróleo,Aquisição dos ativos da Petrogal Brasil,Petrogal Brasil,Sinopec,2011,"4.800,00"
Mineração,Aquisição de 15% de participação na CBMM,Companhia Brasileira de Metalurgia e Mineração (CBMM),China Niobium Investment Holdings Limited,2011,"1.950,00"
Mineração,Projeto Salinas,Sul-Americana de Metais (SAM),Honbridge Holdings,2010,"390,00"
Transmissão,LT Samambaia - Itumbiara,Expansion Transmissão de Energia Elétrica S.A. (ETEE),State Grid,2010,"1.824,82"
Transmissão,LT Samambaia - Emborcação,Expansion Transmissão de Energia Elétrica S.A. (ETEE),State Grid,2010,"1.824,82"
Transmissão,LT Itumbiara - Marimbondo,Expansion Transmissão Itumbiara Marimbondo S.A. (ETIM),State Grid,2010,"1.824,82"
Transmissão,LT Cuiabá - Ribeirãozinho 1,Itumbiara Transmissora de Energia S.A. (ITE),State Grid,2010,"1.824,82"
Transmissão,LT Ribeirãozinho - Rio Verde Norte 1,Itumbiara Transmissora de Energia S.A. (ITE),State Grid,2010,"1.824,82"
Transmissão,LT Rio Verde Norte - Itumbiara,Itumbiara Transmissora de Energia S.A. (ITE),State Grid,2010,"1.824,82"
Transmissão,LT Ribeirãozinho - Barra do Peixe,Itumbiara Transmissora de Energia S.A. (ITE),State Grid,2010,"1.824,82"
Transmissão,SE Serra da Mesa 2,Serra da Mesa Transmissora de Energia S.A. (SMTE),State Grid,2010,"1.824,82"
Transmissão,SE Poços de Caldas,Poços de Caldas Transmissora de Energia S.A. (PCTE),State Grid,2010,"1.824,82"
Transmissão,SE Ribeirão Preto,Ribeirão Preto Transmissora de Energia S.A. (RPTE),State Grid,2010,"1.824,82"
Transmissão,SE Paracatu 4,Serra Paracatu Transmissora de Energia S.A. (SPTE),State Grid,2010,"1.824,82"
Petróleo,Aquisição de 40% dos ativos da Repsol no Brasil pela Sinopec,Repsol Sinopec Brasil - Pré-Sal,Sinopec,2010,"7.100,00"
Automobilístico,Instalação de Fábrica de motocicletas,CR Zongshen do Brasil,Zongshen Industrial Group (CR Zongshen E-Power),2010,"25,50"
Petróleo,Aquisição de 40% do campo de Peregrino,Statoil Brasil (atual Equinor Brasil),SINOCHEM,2010,"3.070,00"
Mineração,Aquisição completa da Itaminas,Itaminas,East China Mineral Exploration and Development Bureau (ECE),2010,"1.200,00"
